SCIENTIFIC_NAME	COMMON_NAME	SPECIES_CODE	CATEGORY	TAXON_ORDER	COM_NAME_CODES	SCI_NAME_CODES	BANDING_CODES	ORDER	FAMILY_COM_NAME	FAMILY_SCI_NAME	REPORT_AS	EXTINCT	EXTINCT_YEAR	FAMILY_CODE
Cettia castaneocoronata	Chestnut-headed Tesia	chhtes1	species	24680	CHTE	CECA	NA	Passeriformes	Bush Warblers and Allies	Scotocercidae	NA	NA	NA	scotoc1
Cettia cetti	Cetti's Warbler	cetwar1	species	24684	CEWA	CECE	NA	Passeriformes	Bush Warblers and Allies	Scotocercidae	NA	NA	NA	scotoc1
Cettia sp.	Cettia sp.	cettia1	spuh	24688	NA	NA	NA	Passeriformes	Bush Warblers and Allies	Scotocercidae	NA	NA	NA	scotoc1
Abroscopus superciliaris	Yellow-bellied Warbler	yebwar1	species	24689	YBWA	ABSU	NA	Passeriformes	Bush Warblers and Allies	Scotocercidae	NA	NA	NA	scotoc1
Abroscopus albogularis	Rufous-faced Warbler	rufwar1	species	24700	RFWA	ABAL	NA	Passeriformes	Bush Warblers and Allies	Scotocercidae	NA	NA	NA	scotoc1
Abroscopus schisticeps	Black-faced Warbler	blfwar1	species	24704	BFWA	ABSC	NA	Passeriformes	Bush Warblers and Allies	Scotocercidae	NA	NA	NA	scotoc1
Phyllergates cucullatus	Mountain Tailorbird	moutai2	species	24708	MOTA	PHCU	NA	Passeriformes	Bush Warblers and Allies	Scotocercidae	NA	NA	NA	scotoc1
Phyllergates heterolaemus	Rufous-headed Tailorbird	ruhtai2	species	24725	RHTA	PHHE	NA	Passeriformes	Bush Warblers and Allies	Scotocercidae	NA	NA	NA	scotoc1
Tickellia hodgsoni	Broad-billed Warbler	brbwar1	species	24726	BBWA	TIHO	NA	Passeriformes	Bush Warblers and Allies	Scotocercidae	NA	NA	NA	scotoc1
Phyllergates cucullatus/Tickellia hodgsoni	Mountain Tailorbird/Broad-billed Warbler	y01153	slash	24729	BBWA MOTA	PHCU TIHO	NA	Passeriformes	Bush Warblers and Allies	Scotocercidae	NA	NA	NA	scotoc1
Horornis seebohmi	Philippine Bush Warbler	phbwar1	species	24730	PHBW PBWA	HOSE	NA	Passeriformes	Bush Warblers and Allies	Scotocercidae	NA	NA	NA	scotoc1
Horornis diphone	Japanese Bush Warbler	jabwar	species	24731	JBWA	HODI	JABW	Passeriformes	Bush Warblers and Allies	Scotocercidae	NA	NA	NA	scotoc1
Horornis diphone [cantans Group]	Japanese Bush Warbler (Northern)	jabwar7	issf	24732	JBWA JABW	HODI	NA	Passeriformes	Bush Warblers and Allies	Scotocercidae	jabwar	NA	NA	scotoc1
Horornis diphone diphone	Japanese Bush Warbler (Bonin)	jabwar6	issf	24736	JBWA JABW	HODI	NA	Passeriformes	Bush Warblers and Allies	Scotocercidae	jabwar	NA	NA	scotoc1
Horornis canturians	Manchurian Bush Warbler	manbuw1	species	24737	KBWA KOBW MBWA	HOCA	NA	Passeriformes	Bush Warblers and Allies	Scotocercidae	NA	NA	NA	scotoc1
Horornis diphone/canturians	Japanese/Manchurian Bush Warbler	y00747	slash	24740	JBWA KOBW KBWA MBWA JABW	HOCA HODI	NA	Passeriformes	Bush Warblers and Allies	Scotocercidae	NA	NA	NA	scotoc1
Horornis annae	Palau Bush Warbler	pabwar1	species	24741	PBWA PABW	HOAN	NA	Passeriformes	Bush Warblers and Allies	Scotocercidae	NA	NA	NA	scotoc1
Horornis carolinae	Tanimbar Bush Warbler	tabwar1	species	24742	TABW TBWA	HOCA	NA	Passeriformes	Bush Warblers and Allies	Scotocercidae	NA	NA	NA	scotoc1
Horornis parens	Shade Warbler	shawar1	species	24743	SHBW SHWA SBWA	HOPA	NA	Passeriformes	Bush Warblers and Allies	Scotocercidae	NA	NA	NA	scotoc1
Horornis haddeni	Odedi	odedi1	species	24744	ODED BOBW BBWA	HOHA	NA	Passeriformes	Bush Warblers and Allies	Scotocercidae	NA	NA	NA	scotoc1
Horornis ruficapilla	Fiji Bush Warbler	fibwar1	species	24745	FIBW FBWA	HORU	NA	Passeriformes	Bush Warblers and Allies	Scotocercidae	NA	NA	NA	scotoc1
Horornis fortipes	Brownish-flanked Bush Warbler	bfbwar1	species	24750	BFBW	HOFO	NA	Passeriformes	Bush Warblers and Allies	Scotocercidae	NA	NA	NA	scotoc1
Horornis fortipes [fortipes Group]	Brownish-flanked Bush Warbler (Brownish-flanked)	bfbwar2	issf	24751	BFBW	HOFO	NA	Passeriformes	Bush Warblers and Allies	Scotocercidae	bfbwar1	NA	NA	scotoc1
Horornis fortipes robustipes	Brownish-flanked Bush Warbler (Taiwan)	bfbwar3	issf	24755	BFBW	HOFO	NA	Passeriformes	Bush Warblers and Allies	Scotocercidae	bfbwar1	NA	NA	scotoc1
Horornis brunnescens	Hume's Bush Warbler	yebbuw2	species	24756	HUBW HBWA	HOBR	NA	Passeriformes	Bush Warblers and Allies	Scotocercidae	NA	NA	NA	scotoc1
Horornis acanthizoides	Yellowish-bellied Bush Warbler	ybbwar1	species	24757	YBBW	HOAC	NA	Passeriformes	Bush Warblers and Allies	Scotocercidae	NA	NA	NA	scotoc1
Horornis fortipes/acanthizoides	Brownish-flanked/Yellowish-bellied Bush Warbler	y00748	slash	24760	BFBW YBBW	HOAC HOFO	NA	Passeriformes	Bush Warblers and Allies	Scotocercidae	NA	NA	NA	scotoc1
Horornis flavolivaceus	Aberrant Bush Warbler	abbwar1	species	24761	ABBW ABWA	HOFL	NA	Passeriformes	Bush Warblers and Allies	Scotocercidae	NA	NA	NA	scotoc1
Horornis flavolivaceus [vulcanius Group]	Aberrant Bush Warbler (Sunda)	subwar4	issf	24762	ABBW ABWA SBWA	HOFL	NA	Passeriformes	Bush Warblers and Allies	Scotocercidae	abbwar1	NA	NA	scotoc1
Horornis flavolivaceus [flavolivaceus Group]	Aberrant Bush Warbler (Aberrant)	abbwar2	issf	24771	ABBW ABWA	HOFL	NA	Passeriformes	Bush Warblers and Allies	Scotocercidae	abbwar1	NA	NA	scotoc1
Horornis flavolivaceus intricatus/oblitus	Aberrant Bush Warbler (Perplexing)	abbwar3	issf	24775	ABBW ABWA	HOFL	NA	Passeriformes	Bush Warblers and Allies	Scotocercidae	abbwar1	NA	NA	scotoc1
Horornis sp.	Horornis sp.	buswar1	spuh	24778	NA	NA	NA	Passeriformes	Bush Warblers and Allies	Scotocercidae	NA	NA	NA	scotoc1
Leptopoecile sophiae	White-browed Tit-Warbler	wbtwar1	species	24780	WBTW	LESO	NA	Passeriformes	Long-tailed Tits	Aegithalidae	NA	NA	NA	aegith2
Leptopoecile elegans	Crested Tit-Warbler	crtwar1	species	24785	CTWA CRTW	LEEL	NA	Passeriformes	Long-tailed Tits	Aegithalidae	NA	NA	NA	aegith2
Aegithalos caudatus	Long-tailed Tit	lottit1	species	24786	LTTI	AECA	NA	Passeriformes	Long-tailed Tits	Aegithalidae	NA	NA	NA	aegith2
Aegithalos caudatus caudatus	Long-tailed Tit (caudatus)	lottit2	issf	24787	LTTI	AECA	NA	Passeriformes	Long-tailed Tits	Aegithalidae	lottit1	NA	NA	aegith2
Aegithalos caudatus [europaeus Group]	Long-tailed Tit (europaeus Group)	lottit3	issf	24788	LTTI	AECA	NA	Passeriformes	Long-tailed Tits	Aegithalidae	lottit1	NA	NA	aegith2
Aegithalos caudatus [alpinus Group]	Long-tailed Tit (alpinus Group)	lottit4	issf	24798	LTTI	AECA	NA	Passeriformes	Long-tailed Tits	Aegithalidae	lottit1	NA	NA	aegith2
Aegithalos glaucogularis	Silver-throated Tit	lottit5	species	24806	STTI STBU	AEGL	NA	Passeriformes	Long-tailed Tits	Aegithalidae	NA	NA	NA	aegith2
Aegithalos leucogenys	White-cheeked Tit	whctit1	species	24809	WCTI WCBU	AELE	NA	Passeriformes	Long-tailed Tits	Aegithalidae	NA	NA	NA	aegith2
Aegithalos exilis	Pygmy Tit	pygtit1	species	24810	PYBU PYTI	AEEX	NA	Passeriformes	Long-tailed Tits	Aegithalidae	NA	NA	NA	aegith2
Aegithalos concinnus	Black-throated Tit	blttit2	species	24811	BTTI BTHC BTBU	AECO	NA	Passeriformes	Long-tailed Tits	Aegithalidae	NA	NA	NA	aegith2
Aegithalos concinnus [concinnus Group]	Black-throated Tit (Black-throated)	bkttit1	issf	24812	BTTI BTBU BTHC	AECO	NA	Passeriformes	Long-tailed Tits	Aegithalidae	blttit2	NA	NA	aegith2
Aegithalos concinnus iredalei/rubricapillus	Black-throated Tit (Red-headed)	bkttit3	issf	24817	BTTI BTHC BTBU	AECO	NA	Passeriformes	Long-tailed Tits	Aegithalidae	blttit2	NA	NA	aegith2
Aegithalos concinnus annamensis	Black-throated Tit (Gray-crowned)	bkttit2	issf	24820	BTTI BTHC BTBU	AECO	NA	Passeriformes	Long-tailed Tits	Aegithalidae	blttit2	NA	NA	aegith2
Aegithalos niveogularis	White-throated Tit	whttit1	species	24821	WTBU WTTI	AENI	NA	Passeriformes	Long-tailed Tits	Aegithalidae	NA	NA	NA	aegith2
Aegithalos iouschistos	Black-browed Tit	bkbtit3	species	24822	BBFT RFBB BBTI BBFB	AEIO	NA	Passeriformes	Long-tailed Tits	Aegithalidae	NA	NA	NA	aegith2
Aegithalos iouschistos iouschistos	Black-browed Tit (Rufous-fronted)	bkbtit5	issf	24823	BBFT RFBU BBTI RFBB BBFB	AEIO	NA	Passeriformes	Long-tailed Tits	Aegithalidae	bkbtit3	NA	NA	aegith2
Aegithalos iouschistos sharpei	Black-browed Tit (Burmese)	bkbtit6	issf	24824	BUBU BBFT BBTI RFBB BBFB	AEIO	NA	Passeriformes	Long-tailed Tits	Aegithalidae	bkbtit3	NA	NA	aegith2
Aegithalos iouschistos bonvaloti/obscuratus	Black-browed Tit (Black-browed)	bkbtit4	issf	24825	BBFT BBTI RFBB BBFB BBBU	AEIO	NA	Passeriformes	Long-tailed Tits	Aegithalidae	bkbtit3	NA	NA	aegith2
Aegithalos fuliginosus	Sooty Tit	sootit1	species	24828	SOBU SOTI	AEFU	NA	Passeriformes	Long-tailed Tits	Aegithalidae	NA	NA	NA	aegith2
Psaltriparus minimus	Bushtit	bushti	species	24829	AMBU	PSMI	BUSH	Passeriformes	Long-tailed Tits	Aegithalidae	NA	NA	NA	aegith2
Psaltriparus minimus [minimus Group]	Bushtit (Pacific)	bushti1	issf	24830	AMBU BUSH	PSMI	NA	Passeriformes	Long-tailed Tits	Aegithalidae	bushti	NA	NA	aegith2
Psaltriparus minimus plumbeus	Bushtit (Interior)	bushti2	issf	24836	AMBU BUSH	PSMI	NA	Passeriformes	Long-tailed Tits	Aegithalidae	bushti	NA	NA	aegith2
Psaltriparus minimus [melanotis Group]	Bushtit (melanotis Group)	bkebus	issf	24837	AMBU BUSH	PSMI	NA	Passeriformes	Long-tailed Tits	Aegithalidae	bushti	NA	NA	aegith2
Sylvia atricapilla	Eurasian Blackcap	blackc1	species	24843	EUBL BLAC	SYAT	EUBC	Passeriformes	Sylviid Warblers and Allies	Sylviidae	NA	NA	NA	sylvii1
Sylvia borin	Garden Warbler	garwar1	species	24849	GAWA	SYBO	NA	Passeriformes	Sylviid Warblers and Allies	Sylviidae	NA	NA	NA	sylvii1
Sylvia dohrni	Dohrn's Thrush-Babbler	dohthb1	species	24852	DOWA DOTB DTBA	SYDO	NA	Passeriformes	Sylviid Warblers and Allies	Sylviidae	NA	NA	NA	sylvii1
Sylvia galinieri	Abyssinian Catbird	abycat1	species	24853	ABCA	SYGA	NA	Passeriformes	Sylviid Warblers and Allies	Sylviidae	NA	NA	NA	sylvii1
Sylvia nigricapillus	Bush Blackcap	busbla1	species	24854	BUBL	SYNI	NA	Passeriformes	Sylviid Warblers and Allies	Sylviidae	NA	NA	NA	sylvii1
Sylvia abyssinica	African Hill Babbler	afhbab1	species	24855	AHBA AFHB	SYAB	NA	Passeriformes	Sylviid Warblers and Allies	Sylviidae	NA	NA	NA	sylvii1
Sylvia abyssinica monachus	African Hill Babbler (Mt. Cameroon)	afhbab4	issf	24856	AHBA AFHB	SYAB	NA	Passeriformes	Sylviid Warblers and Allies	Sylviidae	afhbab1	NA	NA	sylvii1
Sylvia abyssinica claudei	African Hill Babbler (Claude's)	afhbab5	issf	24857	AHBA AFHB	SYAB	NA	Passeriformes	Sylviid Warblers and Allies	Sylviidae	afhbab1	NA	NA	sylvii1
Sylvia abyssinica stierlingi	African Hill Babbler (Stierling's)	afhbab6	issf	24858	AHBA AFHB	SYAB	NA	Passeriformes	Sylviid Warblers and Allies	Sylviidae	afhbab1	NA	NA	sylvii1
Sylvia abyssinica abyssinica/stictigula	African Hill Babbler (African)	afhbab2	issf	24859	AHBA AFHB	SYAB	NA	Passeriformes	Sylviid Warblers and Allies	Sylviidae	afhbab1	NA	NA	sylvii1
Sylvia atriceps	Rwenzori Hill Babbler	afhbab3	species	24862	RHBA RUHB	SYAT	NA	Passeriformes	Sylviid Warblers and Allies	Sylviidae	NA	NA	NA	sylvii1
Curruca nisoria	Barred Warbler	barwar1	species	24863	BAWA	CUNI	NA	Passeriformes	Sylviid Warblers and Allies	Sylviidae	NA	NA	NA	sylvii1
Curruca layardi	Layard's Warbler	laywar2	species	24866	LTBA LATB LAWA	CULA	NA	Passeriformes	Sylviid Warblers and Allies	Sylviidae	NA	NA	NA	sylvii1
Curruca boehmi	Banded Parisoma	banwar2	species	24871	BAPA BAWA	CUBO	NA	Passeriformes	Sylviid Warblers and Allies	Sylviidae	NA	NA	NA	sylvii1
Curruca subcoerulea	Chestnut-vented Warbler	ruvwar2	species	24875	CVTB CVWA	CUSU	NA	Passeriformes	Sylviid Warblers and Allies	Sylviidae	NA	NA	NA	sylvii1
Curruca curruca	Lesser Whitethroat	leswhi4	species	24880	NA	CUCU	LEWH	Passeriformes	Sylviid Warblers and Allies	Sylviidae	NA	NA	NA	sylvii1
Curruca curruca curruca/blythi	Lesser Whitethroat (curruca/blythi)	leswhi2	issf	24881	LEWH	CUCU	NA	Passeriformes	Sylviid Warblers and Allies	Sylviidae	leswhi4	NA	NA	sylvii1
Curruca curruca halimodendri	Lesser Whitethroat (halimodendri)	leswhi3	issf	24884	LEWH	CUCU	NA	Passeriformes	Sylviid Warblers and Allies	Sylviidae	leswhi4	NA	NA	sylvii1
Curruca curruca curruca/blythi/halimodendri	Lesser Whitethroat (Lesser)	leswhi1	form	24885	LEWH	CUCU	NA	Passeriformes	Sylviid Warblers and Allies	Sylviidae	leswhi4	NA	NA	sylvii1
Curruca curruca minula	Lesser Whitethroat (Desert)	smawhi1	issf	24886	LEWH	CUCU	NA	Passeriformes	Sylviid Warblers and Allies	Sylviidae	leswhi4	NA	NA	sylvii1
Curruca curruca curruca/minula	Lesser Whitethroat (Lesser/Desert)	y01048	form	24887	LEWH	CUCU	NA	Passeriformes	Sylviid Warblers and Allies	Sylviidae	leswhi4	NA	NA	sylvii1
Curruca curruca margelanica	Lesser Whitethroat (Gansu)	marwhi1	issf	24888	LEWH	CUCU	NA	Passeriformes	Sylviid Warblers and Allies	Sylviidae	leswhi4	NA	NA	sylvii1
Curruca curruca minula/margelanica	Lesser Whitethroat (Desert/Gansu)	y01050	form	24889	LEWH	CUCU	NA	Passeriformes	Sylviid Warblers and Allies	Sylviidae	leswhi4	NA	NA	sylvii1
Curruca curruca althaea	Lesser Whitethroat (Hume's)	humwhi1	issf	24890	LEWH	CUCU	NA	Passeriformes	Sylviid Warblers and Allies	Sylviidae	leswhi4	NA	NA	sylvii1
Curruca curruca curruca/althaea	Lesser Whitethroat (Lesser/Hume's)	y00752	form	24891	LEWH	CUCU	NA	Passeriformes	Sylviid Warblers and Allies	Sylviidae	leswhi4	NA	NA	sylvii1
Curruca curruca curruca/minula/althaea	Lesser Whitethroat (Lesser/Desert/Hume's)	y01049	form	24892	LEWH	CUCU	NA	Passeriformes	Sylviid Warblers and Allies	Sylviidae	leswhi4	NA	NA	sylvii1
Curruca lugens	Brown Parisoma	brnwar1	species	24893	BRWA BRPA	CULU	NA	Passeriformes	Sylviid Warblers and Allies	Sylviidae	NA	NA	NA	sylvii1
Curruca lugens griseiventris	Brown Parisoma (Gray-vented)	brnwar3	issf	24894	BRWA BRPA	CULU	NA	Passeriformes	Sylviid Warblers and Allies	Sylviidae	brnwar1	NA	NA	sylvii1
Curruca lugens [lugens Group]	Brown Parisoma (Brown)	brnwar2	issf	24895	BRWA BRPA	CULU	NA	Passeriformes	Sylviid Warblers and Allies	Sylviidae	brnwar1	NA	NA	sylvii1
Curruca buryi	Yemen Warbler	yemwar1	species	24900	YEWA	CUBU	NA	Passeriformes	Sylviid Warblers and Allies	Sylviidae	NA	NA	NA	sylvii1
Curruca leucomelaena	Arabian Warbler	reswar1	species	24901	ARWA	CULE	NA	Passeriformes	Sylviid Warblers and Allies	Sylviidae	NA	NA	NA	sylvii1
Curruca hortensis	Western Orphean Warbler	weowar2	species	24906	WOWA	CUHO	NA	Passeriformes	Sylviid Warblers and Allies	Sylviidae	NA	NA	NA	sylvii1
Curruca crassirostris	Eastern Orphean Warbler	eaowar2	species	24909	EOWA	CUCR	NA	Passeriformes	Sylviid Warblers and Allies	Sylviidae	NA	NA	NA	sylvii1
Curruca hortensis/crassirostris	Western/Eastern Orphean Warbler	y00816	slash	24913	EOWA WOWA	CUCR CUHO	NA	Passeriformes	Sylviid Warblers and Allies	Sylviidae	NA	NA	NA	sylvii1
Curruca deserti	African Desert Warbler	afdwar1	species	24914	ADWA	CUDE	NA	Passeriformes	Sylviid Warblers and Allies	Sylviidae	NA	NA	NA	sylvii1
Curruca nana	Asian Desert Warbler	asdwar1	species	24915	ADWA	CUNA	NA	Passeriformes	Sylviid Warblers and Allies	Sylviidae	NA	NA	NA	sylvii1
Curruca deserticola	Tristram's Warbler	triwar1	species	24916	TRWA	CUDE	NA	Passeriformes	Sylviid Warblers and Allies	Sylviidae	NA	NA	NA	sylvii1
Curruca mystacea	Menetries's Warbler	menwar1	species	24919	MEWA	CUMY	NA	Passeriformes	Sylviid Warblers and Allies	Sylviidae	NA	NA	NA	sylvii1
Curruca mystacea mystacea	Menetries's Warbler (mystacea)	menwar2	issf	24920	MEWA	CUMY	NA	Passeriformes	Sylviid Warblers and Allies	Sylviidae	menwar1	NA	NA	sylvii1
Curruca mystacea rubescens/turcmenica	Menetries's Warbler (rubescens/turcmenica)	menwar3	issf	24921	MEWA	CUMY	NA	Passeriformes	Sylviid Warblers and Allies	Sylviidae	menwar1	NA	NA	sylvii1
Curruca ruppeli	Rüppell's Warbler	ruewar1	species	24924	RÜWA RUWA	CURU	NA	Passeriformes	Sylviid Warblers and Allies	Sylviidae	NA	NA	NA	sylvii1
Curruca melanothorax	Cyprus Warbler	cypwar1	species	24925	CYWA	CUME	NA	Passeriformes	Sylviid Warblers and Allies	Sylviidae	NA	NA	NA	sylvii1
Curruca melanocephala	Sardinian Warbler	sarwar1	species	24926	SAWA	CUME	NA	Passeriformes	Sylviid Warblers and Allies	Sylviidae	NA	NA	NA	sylvii1
Curruca subalpina	Moltoni's Warbler	subwar8	species	24930	MOWA	CUSU	NA	Passeriformes	Sylviid Warblers and Allies	Sylviidae	NA	NA	NA	sylvii1
Curruca iberiae	Western Subalpine Warbler	subwar6	species	24931	WSWA	CUIB	NA	Passeriformes	Sylviid Warblers and Allies	Sylviidae	NA	NA	NA	sylvii1
Curruca cantillans	Eastern Subalpine Warbler	easwar1	species	24932	ESWA	CUCA	NA	Passeriformes	Sylviid Warblers and Allies	Sylviidae	NA	NA	NA	sylvii1
Curruca iberiae/cantillans	Western/Eastern Subalpine Warbler	subwar1	slash	24935	ESWA WSWA	CUIB CUCA	NA	Passeriformes	Sylviid Warblers and Allies	Sylviidae	NA	NA	NA	sylvii1
Curruca subalpina/iberiae/cantillans	Moltoni's/Western/Eastern Subalpine Warbler	y00909	slash	24936	NA	NA	NA	Passeriformes	Sylviid Warblers and Allies	Sylviidae	NA	NA	NA	sylvii1
Curruca communis	Greater Whitethroat	grewhi1	species	24937	GRWH COWH	CUCO	NA	Passeriformes	Sylviid Warblers and Allies	Sylviidae	NA	NA	NA	sylvii1
Curruca conspicillata	Spectacled Warbler	spewar2	species	24942	SPWA	CUCO	NA	Passeriformes	Sylviid Warblers and Allies	Sylviidae	NA	NA	NA	sylvii1
Curruca sarda	Marmora's Warbler	marwar1	species	24945	MAWA	CUSA	NA	Passeriformes	Sylviid Warblers and Allies	Sylviidae	NA	NA	NA	sylvii1
Curruca undata	Dartford Warbler	darwar1	species	24946	DAWA	CUUN	NA	Passeriformes	Sylviid Warblers and Allies	Sylviidae	NA	NA	NA	sylvii1
Curruca balearica	Balearic Warbler	balwar1	species	24950	BAWA	CUBA	NA	Passeriformes	Sylviid Warblers and Allies	Sylviidae	NA	NA	NA	sylvii1
Curruca sp.	Curruca sp.	curruc1	spuh	24951	NA	NA	NA	Passeriformes	Sylviid Warblers and Allies	Sylviidae	NA	NA	NA	sylvii1
Sylvia/Curruca sp.	Sylvia/Curruca sp.	sylvia1	spuh	24952	NA	NA	NA	Passeriformes	Sylviid Warblers and Allies	Sylviidae	NA	NA	NA	sylvii1
Passeriformes sp. (Old World warbler sp.)	old world warbler sp.	olwwar1	spuh	24953	NA	NA	NA	Passeriformes	Sylviid Warblers and Allies	Sylviidae	NA	NA	NA	sylvii1
Myzornis pyrrhoura	Fire-tailed Myzornis	fitmyz1	species	24955	FTMY	MYPY	NA	Passeriformes	Parrotbills	Paradoxornithidae	NA	NA	NA	parado1
Moupinia poecilotis	Rufous-tailed Babbler	rutbab1	species	24956	RTBA	MOPO	NA	Passeriformes	Parrotbills	Paradoxornithidae	NA	NA	NA	parado1
Lioparus chrysotis	Golden-breasted Fulvetta	gobful1	species	24957	GBFU	LICH	NA	Passeriformes	Parrotbills	Paradoxornithidae	NA	NA	NA	parado1
Chrysomma sinense	Yellow-eyed Babbler	yeebab1	species	24964	YEBA	CHSI	NA	Passeriformes	Parrotbills	Paradoxornithidae	NA	NA	NA	parado1
Chrysomma altirostre	Jerdon's Babbler	jerbab1	species	24969	JEBA	CHAL	NA	Passeriformes	Parrotbills	Paradoxornithidae	NA	NA	NA	parado1
Chrysomma altirostre scindicum	Jerdon's Babbler (Indus)	jerbab2	issf	24970	JEBA	CHAL	NA	Passeriformes	Parrotbills	Paradoxornithidae	jerbab1	NA	NA	parado1
Chrysomma altirostre griseigulare	Jerdon's Babbler (Himalayan)	jerbab3	issf	24971	JEBA	CHAL	NA	Passeriformes	Parrotbills	Paradoxornithidae	jerbab1	NA	NA	parado1
Chrysomma altirostre altirostre	Jerdon's Babbler (Irrawaddy)	jerbab4	issf	24972	JEBA	CHAL	NA	Passeriformes	Parrotbills	Paradoxornithidae	jerbab1	NA	NA	parado1
Rhopophilus albosuperciliaris	Tarim Babbler	tarbab1	species	24973	THWA TAHW TABA	RHAL	NA	Passeriformes	Parrotbills	Paradoxornithidae	NA	NA	NA	parado1
Rhopophilus pekinensis	Beijing Babbler	beibab1	species	24974	BEHW BEBA BHWA	RHPE	NA	Passeriformes	Parrotbills	Paradoxornithidae	NA	NA	NA	parado1
Fulvetta ruficapilla	Spectacled Fulvetta	speful1	species	24975	SPFU	FURU	NA	Passeriformes	Parrotbills	Paradoxornithidae	NA	NA	NA	parado1
Fulvetta danisi	Indochinese Fulvetta	indful1	species	24978	INFU	FUDA	NA	Passeriformes	Parrotbills	Paradoxornithidae	NA	NA	NA	parado1
Fulvetta striaticollis	Chinese Fulvetta	chiful1	species	24981	CHFU	FUST	NA	Passeriformes	Parrotbills	Paradoxornithidae	NA	NA	NA	parado1
Fulvetta ludlowi	Brown-throated Fulvetta	ludful1	species	24982	BTFU	FULU	NA	Passeriformes	Parrotbills	Paradoxornithidae	NA	NA	NA	parado1
Fulvetta vinipectus	White-browed Fulvetta	whbful1	species	24983	WBFU	FUVI	NA	Passeriformes	Parrotbills	Paradoxornithidae	NA	NA	NA	parado1
Fulvetta vinipectus vinipectus/kangrae	White-browed Fulvetta (White-throated)	whbful10	issf	24984	WBFU	FUVI	NA	Passeriformes	Parrotbills	Paradoxornithidae	whbful1	NA	NA	parado1
Fulvetta vinipectus chumbiensis	White-browed Fulvetta (Bhutan)	whbful4	issf	24987	WBFU	FUVI	NA	Passeriformes	Parrotbills	Paradoxornithidae	whbful1	NA	NA	parado1
Fulvetta vinipectus austeni	White-browed Fulvetta (Naga Hills)	whbful5	issf	24988	WBFU	FUVI	NA	Passeriformes	Parrotbills	Paradoxornithidae	whbful1	NA	NA	parado1
Fulvetta vinipectus ripponi	White-browed Fulvetta (Chin Hills)	whbful6	issf	24989	WBFU	FUVI	NA	Passeriformes	Parrotbills	Paradoxornithidae	whbful1	NA	NA	parado1
Fulvetta vinipectus bieti/perstriata	White-browed Fulvetta (Chinese)	whbful11	issf	24990	WBFU	FUVI	NA	Passeriformes	Parrotbills	Paradoxornithidae	whbful1	NA	NA	parado1
Fulvetta vinipectus valentinae	White-browed Fulvetta (Vietnam)	whbful8	issf	24993	WBFU	FUVI	NA	Passeriformes	Parrotbills	Paradoxornithidae	whbful1	NA	NA	parado1
Fulvetta manipurensis	Manipur Fulvetta	sttful2	species	24994	MAFU STFU	FUMA	NA	Passeriformes	Parrotbills	Paradoxornithidae	NA	NA	NA	parado1
Fulvetta cinereiceps	Gray-hooded Fulvetta	sttful1	species	24997	GHFU	FUCI	NA	Passeriformes	Parrotbills	Paradoxornithidae	NA	NA	NA	parado1
Fulvetta formosana	Taiwan Fulvetta	taiful1	species	25002	TAFU	FUFO	NA	Passeriformes	Parrotbills	Paradoxornithidae	NA	NA	NA	parado1
Fulvetta sp.	fulvetta sp. (genus Fulvetta)	fulvet2	spuh	25003	NA	NA	NA	Passeriformes	Parrotbills	Paradoxornithidae	NA	NA	NA	parado1
Chamaea fasciata	Wrentit	wrenti	species	25004	NA	CHFA	WREN	Passeriformes	Parrotbills	Paradoxornithidae	NA	NA	NA	parado1
Calamornis heudei	Reed Parrotbill	reepar3	species	25010	REPA	CAHE	NA	Passeriformes	Parrotbills	Paradoxornithidae	NA	NA	NA	parado1
Calamornis heudei polivanovi	Reed Parrotbill (Northern)	reepar5	issf	25011	REPA	CAHE	NA	Passeriformes	Parrotbills	Paradoxornithidae	reepar3	NA	NA	parado1
Calamornis heudei heudei	Reed Parrotbill (Reed)	reepar4	issf	25012	REPA	CAHE	NA	Passeriformes	Parrotbills	Paradoxornithidae	reepar3	NA	NA	parado1
Paradoxornis flavirostris	Black-breasted Parrotbill	blbpar2	species	25013	BBPA	PAFL	NA	Passeriformes	Parrotbills	Paradoxornithidae	NA	NA	NA	parado1
Paradoxornis guttaticollis	Spot-breasted Parrotbill	spbpar1	species	25014	SBPA	PAGU	NA	Passeriformes	Parrotbills	Paradoxornithidae	NA	NA	NA	parado1
Conostoma aemodium	Great Parrotbill	grepar1	species	25015	GRPA	COAE	NA	Passeriformes	Parrotbills	Paradoxornithidae	NA	NA	NA	parado1
Cholornis unicolor	Brown Parrotbill	bropar1	species	25016	BRPA	CHUN	NA	Passeriformes	Parrotbills	Paradoxornithidae	NA	NA	NA	parado1
Cholornis paradoxus	Three-toed Parrotbill	thtpar1	species	25017	TTPA	CHPA	NA	Passeriformes	Parrotbills	Paradoxornithidae	NA	NA	NA	parado1
Psittiparus gularis	Gray-headed Parrotbill	gyhpar3	species	25020	GHPA	PSGU	NA	Passeriformes	Parrotbills	Paradoxornithidae	NA	NA	NA	parado1
Psittiparus margaritae	Black-headed Parrotbill	bkhpar1	species	25027	BHPA	PSMA	NA	Passeriformes	Parrotbills	Paradoxornithidae	NA	NA	NA	parado1
